Year,Predicited_Graduates - Medical*,Predicited_Graduates - Agriculture*,Predicited_Graduates  - Veterinary*,Predicited_Graduates - Science*,Predicited_Graduates - Engineering*,Predicited_Graduates - Total
2006,49658.50979038956,37248.071192360934,5578.799810393034,1032473.0763017734,223912.02859274193,1342754.500418126
2007,49844.24199523177,39832.445678170094,5786.277855519483,1063288.4219569082,227569.77613625219,1371654.1219248292
2008,52192.26878602074,37022.32195695558,6195.685148216762,1128274.1686943094,230772.47053358116,1419570.4079393444
2009,54346.844240406725,42261.50028428503,6727.1526601468995,1045417.9352120436,241134.66534889681,1443083.3236200376
2010,57478.26284684241,45683.3474788256,6691.074669713864,1233088.9044767644,246354.5694147338,1548263.2313668728
2011,61641.9941840326,44273.573552609436,8220.623616439128,1093654.998615676,263993.1340423137,1534900.7550963282
2012,59751.81335324762,44483.508162511345,8024.1323518332865,1105165.9919586414,268330.7880429769,1546835.0279945391
2013,62580.091097382705,45708.608564271744,8296.366471087405,1158280.288246975,282027.06061997474,1614651.0496300303
2014,62808.851781175435,44556.451454192786,8262.983864436777,1325531.4023398585,290128.35893247445,1725372.256767815
2015,64688.05683372959,46950.294680500956,7335.083698553118,1336975.4153588796,315935.891645296,1786264.8400214305
2016,62452.041885673745,46253.2779223463,7343.851588058366,1369725.7015062303,323988.71355522453,1810965.1901054424
2017,63111.77646671063,47012.85108408711,7621.506485649147,1357051.244599824,333068.3735680515,1822894.0388851352
2018,62565.05981584229,46484.67375295457,7815.52873168973,1372491.4046671465,338515.73801132874,1846469.7809304027
2019,63182.45660553752,49100.831012867115,8052.197356096798,1368729.5774740037,346299.49918703985,1868810.432470582
2020,64063.48759926345,46197.45492685637,8488.242075772945,1319507.2188693993,349594.03041947016,1682890.8007161866
2021,68428.22471134512,51431.50108195153,9063.045388476683,1646751.8810376488,362990.1423935005,2066250.2144167367
2022,67416.53002850355,54876.68543619142,9010.530734634447,1396278.1179798474,360922.2305294727,1969890.493077071
2023,79929.09248228095,53481.2913657419,10609.622436912516,1766801.3882717816,388115.7800877406,2203565.3971473486
2024,79307.17459945034,53650.62603409938,10437.942569225284,1754707.4902505374,388860.0923042461,2198701.019427636
2025,81138.75103348991,54859.338885594705,10691.602681594995,1772021.9347710756,397733.022475842,2238358.378129097
2026,79770.15109534314,53674.71555031367,10615.37671173922,1611498.6908207554,394013.3337338208,2183657.1164432666
2027,81739.99719267889,56069.365284330255,9566.08258900847,1673847.552292485,408345.225450979,2239579.00580668
2028,80656.56356161041,55398.156772846996,9546.882316843426,1633222.5514698331,408667.56048957974,2220998.4057351598
2029,81721.69773131561,56176.125174236564,9804.569329241745,1677656.128788954,414963.79471918015,2252099.903829445
2030,82454.53382174128,55657.9360325407,9994.677336041876,1708345.778122537,418707.85371039674,2274942.8704390777
